data_name,acc+,acc-,acc_original,accuracy,precision,recall,F1,G-mean
""
do nothing
yeast-0-5-6-7-9_vs_4.dat,1.0,0.0,,0.903,0.903,1.0,0.949,0.0
ecoli4.dat,1.0,0.0,,0.94,0.94,1.0,0.969,0.0
glass5.dat,1.0,0.0,,0.958,0.958,1.0,0.978,0.0
yeast5.dat,1.0,0.0,,0.97,0.97,1.0,0.985,0.0
yeast6.dat,1.0,0.0,,0.976,0.976,1.0,0.988,0.0
""
vae
yeast-0-5-6-7-9_vs_4.dat,0.988,0.896,0.02,0.941,0.903,0.988,0.943,0.941
ecoli4.dat,0.971,0.953,0.05,0.962,0.952,0.971,0.961,0.962
glass5.dat,1.0,0.967,0.1,0.983,0.966,1.0,0.983,0.983
yeast5.dat,0.996,0.978,0.117,0.987,0.978,0.996,0.987,0.987
yeast6.dat,0.958,0.983,0.286,0.971,0.983,0.958,0.97,0.971
""
smote
yeast-0-5-6-7-9_vs_4.dat,0.985,0.9,0.018,0.942,0.91,0.985,0.945,0.941
ecoli4.dat,0.985,0.993,0.65,0.989,0.994,0.985,0.989,0.989
glass5.dat,0.995,0.961,0.1,0.978,0.963,0.995,0.979,0.978
yeast5.dat,0.982,0.988,0.453,0.985,0.987,0.982,0.985,0.985
yeast6.dat,0.93,0.974,0.829,0.952,0.973,0.93,0.951,0.952
""
smote_enn
yeast-0-5-6-7-9_vs_4.dat,0.988,0.897,0.018,0.942,0.905,0.988,0.945,0.941
ecoli4.dat,0.984,0.994,0.65,0.989,0.993,0.984,0.989,0.989
glass5.dat,0.995,0.959,0.1,0.978,0.964,0.995,0.979,0.977
yeast5.dat,0.983,0.988,0.447,0.986,0.988,0.983,0.986,0.986
yeast6.dat,0.935,0.974,0.829,0.954,0.972,0.935,0.953,0.954
""
smote_rsb
yeast-0-5-6-7-9_vs_4.dat,0.986,0.901,0.02,0.943,0.908,0.986,0.945,0.943
ecoli4.dat,0.984,0.994,0.7,0.989,0.994,0.984,0.989,0.989
glass5.dat,0.995,0.96,0.1,0.978,0.964,0.995,0.979,0.977
yeast5.dat,0.982,0.988,0.5,0.985,0.988,0.982,0.985,0.985
yeast6.dat,0.932,0.966,0.829,0.949,0.965,0.932,0.948,0.949
